Date,Open,High,Low,Close,Adj Close,Volume
2023-07-16,1.356234,1.367060,1.350009,1.350152,1.350152,6393962
2023-07-17,1.350206,1.365623,1.341639,1.352708,1.352708,7204625
2023-07-18,1.352665,1.424413,1.336005,1.391875,1.391875,13637759
2023-07-19,1.391851,1.397760,1.351486,1.365175,1.365175,25532405
2023-07-20,1.364880,1.399912,1.356670,1.396417,1.396417,35860927
2023-07-21,1.396379,1.463574,1.394854,1.431189,1.431189,37750350
2023-07-22,1.431250,1.525607,1.422749,1.490598,1.490598,36631268
2023-07-23,1.490668,1.514820,1.470302,1.470345,1.470345,34860702
2023-07-24,1.469546,1.469546,1.375327,1.402251,1.402251,35078075
2023-07-25,1.402983,1.437376,1.391409,1.426842,1.426842,29752718
2023-07-26,1.426852,1.430751,1.360211,1.360282,1.360282,37293604
2023-07-27,1.360337,1.367919,1.306823,1.318334,1.318334,40548976
2023-07-28,1.318341,1.353859,1.266491,1.280602,1.280602,37991528
2023-07-29,1.280776,1.295971,1.198079,1.203363,1.203363,36578931
2023-07-30,1.203415,1.233947,1.168750,1.210185,1.210185,33549016
2023-07-31,1.210163,1.216391,1.192498,1.195731,1.195731,25728714
2023-08-01,1.195752,1.205911,1.175027,1.205911,1.205911,22353772
2023-08-02,1.205575,1.212391,1.193701,1.197543,1.197543,24496715
2023-08-03,1.197627,1.204100,1.177052,1.184274,1.184274,27430823
2023-08-04,1.184106,1.206673,1.182446,1.201041,1.201041,24337892
2023-08-05,1.201388,1.204920,1.186014,1.194086,1.194086,23796231
2023-08-06,1.194039,1.205549,1.193248,1.203974,1.203974,24169023
2023-08-07,1.204171,1.208870,1.197943,1.203705,1.203705,28344851
2023-08-08,1.203769,1.287840,1.200710,1.277400,1.277400,28358129
2023-08-09,1.277414,1.295808,1.246238,1.257191,1.257191,26389205
2023-08-10,1.257218,1.283876,1.253512,1.260256,1.260256,22756216
2023-08-11,1.259895,1.298014,1.251638,1.293007,1.293007,25459644
2023-08-12,1.293056,1.366662,1.292917,1.366662,1.366662,27895006
2023-08-13,1.367469,1.454099,1.361067,1.399857,1.399857,37098066
2023-08-14,1.399605,1.476725,1.376951,1.438022,1.438022,42178393
2023-08-15,1.437991,1.492075,1.437991,1.485394,1.485394,36455543
2023-08-16,1.485349,1.505803,1.397728,1.403255,1.403255,29677257
2023-08-17,1.403010,1.455892,1.311937,1.328058,1.328058,30260758
2023-08-18,1.328142,1.347402,1.259568,1.275908,1.275908,19883822
2023-08-19,1.275908,1.346563,1.274269,1.345096,1.345096,17067554
2023-08-20,1.345131,1.409709,1.342151,1.380443,1.380443,21819911
2023-08-21,1.380442,1.383847,1.333031,1.357118,1.357118,25645896
2023-08-22,1.357111,1.386506,1.341143,1.372363,1.372363,29153884
2023-08-23,1.372435,1.434449,1.372435,1.423674,1.423674,29759642
2023-08-24,1.423696,1.441816,1.402421,1.411171,1.411171,28654443
2023-08-25,1.411128,1.438692,1.395254,1.427044,1.427044,29643404
2023-08-26,1.426883,1.468221,1.420364,1.467141,1.467141,22857386
2023-08-27,1.467146,1.517038,1.463599,1.515300,1.515300,25836162
2023-08-28,1.514666,1.515325,1.461736,1.511557,1.511557,23102449
2023-08-29,1.511451,1.742555,1.497836,1.720292,1.720292,34841481
2023-08-30,1.720340,1.760157,1.679309,1.717982,1.717982,37243023
2023-08-31,1.718075,1.755603,1.680185,1.747454,1.747454,29041138
2023-09-01,1.747478,1.949317,1.715289,1.941493,1.941493,49504705
2023-09-02,1.941363,1.946632,1.859028,1.865801,1.865801,37696391
2023-09-03,1.865861,1.885625,1.844300,1.881530,1.881530,30325987
2023-09-04,1.881409,1.929732,1.867872,1.878246,1.878246,23817917
2023-09-05,1.878346,1.878346,1.753470,1.783666,1.783666,27619037
2023-09-06,1.783954,1.832449,1.727879,1.822052,1.822052,23988003
2023-09-07,1.822228,1.876519,1.802937,1.804445,1.804445,24176522
2023-09-08,1.804411,1.827892,1.777488,1.788047,1.788047,22488855
2023-09-09,1.787966,1.805256,1.770694,1.770814,1.770814,15990323
2023-09-10,1.770645,1.775950,1.707028,1.719906,1.719906,18382065
2023-09-11,1.719877,1.720292,1.621333,1.641814,1.641814,24980300
2023-09-12,1.641794,1.860730,1.641794,1.819614,1.819614,45544526
2023-09-13,1.819121,1.953372,1.780328,1.888070,1.888070,54848849
2023-09-14,1.888724,1.940348,1.868297,1.920707,1.920707,36584499
2023-09-15,1.920319,2.230563,1.900165,2.100892,2.100892,55770372
2023-09-16,2.099550,2.519012,2.083719,2.393481,2.393481,84817022
2023-09-17,2.393660,2.463980,2.262179,2.316734,2.316734,50336186
2023-09-18,2.314654,2.509400,2.288284,2.402673,2.402673,59364077
2023-09-19,2.402782,2.587164,2.402556,2.574831,2.574831,54331924
2023-09-20,2.574861,2.575479,2.403500,2.408781,2.408781,53830461
2023-09-21,2.408835,2.414402,2.309508,2.352200,2.352200,47660411
2023-09-22,2.352687,2.357500,2.284360,2.297363,2.297363,37708798
2023-09-23,2.297463,2.344624,2.286436,2.300362,2.300362,24285546
2023-09-24,2.300321,2.302243,2.195157,2.198195,2.198195,23514194
2023-09-25,2.198280,2.211083,2.149490,2.154441,2.154441,26975471
2023-09-26,2.154422,2.190896,2.116143,2.121783,2.121783,30126220
2023-09-27,2.121646,2.265061,2.094469,2.163163,2.163163,35720408
2023-09-28,2.162962,2.290693,2.139570,2.240326,2.240326,38055686
2023-09-29,2.240727,2.241491,2.166571,2.168642,2.168642,29904195
2023-09-30,2.168659,2.192873,2.111901,2.113134,2.113134,23499342
2023-10-01,2.114459,2.138936,2.068213,2.127069,2.127069,24385605
2023-10-02,2.127018,2.149214,2.024395,2.025830,2.025830,40408337
2023-10-03,2.025804,2.057412,2.013833,2.036208,2.036208,10771121
2023-10-04,2.035967,2.035967,1.948392,1.957080,1.957080,14036948
2023-10-05,1.957132,2.104928,1.952470,2.065497,2.065497,22634402
2023-10-06,2.065477,2.167473,2.062134,2.147159,2.147159,14956438
2023-10-07,2.147138,2.152158,2.063065,2.063891,2.063891,19222519
2023-10-08,2.063970,2.087955,2.020293,2.048982,2.048982,14458640
2023-10-09,2.048999,2.071388,1.963700,1.979504,1.979504,21735748
2023-10-10,1.979497,2.027073,1.962837,2.009492,2.009492,20828014
2023-10-11,2.009491,2.021185,1.977003,1.994731,1.994731,16454611
2023-10-12,1.994738,2.017550,1.918812,1.935111,1.935111,18144129
2023-10-13,1.935033,1.976917,1.930873,1.939859,1.939859,20643749
2023-10-14,1.939887,1.954830,1.919556,1.922337,1.922337,16050126
2023-10-15,1.922336,1.937220,1.918751,1.925898,1.925898,12228066
2023-10-16,1.926312,2.002099,1.924518,1.960912,1.960912,13076383
2023-10-17,1.960881,2.098455,1.947072,2.098449,2.098449,30826404
2023-10-18,2.098289,2.150281,2.030793,2.048192,2.048192,34348677
2023-10-19,2.048241,2.130071,2.006898,2.073865,2.073865,30217936
2023-10-20,2.074375,2.133228,2.068083,2.086455,2.086455,15615170
2023-10-21,2.086597,2.150268,2.077728,2.124304,2.124304,10732844
2023-10-22,2.124291,2.196188,2.115733,2.187562,2.187562,13380912
2023-10-23,2.185012,2.215549,2.132022,2.173176,2.173176,48873140
2023-10-24,2.173099,2.249269,2.122053,2.129461,2.129461,52853464
2023-10-25,2.129801,2.154771,2.120682,2.136161,2.136161,41637235
2023-10-26,2.136231,2.181604,2.075618,2.124574,2.124574,43667080
2023-10-27,2.124471,2.134989,2.033138,2.057790,2.057790,17044760
2023-10-28,2.057752,2.112087,2.037061,2.052351,2.052351,8703670
2023-10-29,2.052272,2.115507,2.020819,2.058779,2.058779,7250745
2023-10-30,2.058767,2.126439,2.058767,2.121088,2.121088,26036379
2023-10-31,2.121135,2.285648,2.110932,2.186303,2.186303,78597960
2023-11-01,2.186223,2.232386,2.131420,2.199608,2.199608,45799886
2023-11-02,2.200014,2.280754,2.167776,2.235232,2.235232,70146504
2023-11-03,2.235195,2.268064,2.170673,2.245590,2.245590,34325318
2023-11-04,2.245651,2.270222,2.216341,2.226274,2.226274,14046828
2023-11-05,2.226254,2.310583,2.224255,2.276510,2.276510,13417992
2023-11-06,2.271939,2.476348,2.271939,2.437553,2.437553,23505167
2023-11-07,2.437585,2.581306,2.367942,2.544431,2.544431,68858939
